English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Steamed_egg_custard_bun/Sweet_milky_bun,120,22,2,3,0,12,0,13,24,47,4,5,6,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,24
Steamed_barbecue_pork_bun,150,24,4,4,0,0,0,0,0,160,4,3,6,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,24
Steamed_lotus_seed_paste_and_egg_yolk_bun,170,30,0,0,0,26,0,12,18,36,4,5,6,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,28
Steamed_chicken_bun,120,19,0,0,0,13,0,0,14,160,4,3,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21
Steamed_glutinous_rice_roll,260,47,0,0,0,3,0,0,25,360,4,3,3,11,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,20
'Mai-lai'_cake,370,59,0,10,0,71,0,21,60,280,4,5,6,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,18
Steamed_vegetable_and_meat_bun,190,29,0,0,0,0,2,0,17,220,4,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22
Steamed_bun_with_assorted_stuffing,540,75,18,19,0,80,7,22,68,700,4,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25
Steamed_dumpling_Chiu_Chow-style,92,13,0,0,0,0,0,0,18,220,4,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26
Steamed_pork_ribs_with_black_bean_sauce,260,7.3,16,17,5,43,0,0,48,660,4,1,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,48
Steamed_chicken_feet_with_black_bean_sauce,200,5.7,15,13,2,61,2,0,66,620,4,1,6,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Steamed_fish_head_with_black_bean_sauce,190,4.7,11,13,0,120,0,3,200,640,4,1,6,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,68
Steamed_pork_dumpling_Shanghai-style,85,6.3,0,0,0,10,0,0,0,140,4,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28
Soup_dumpling,140,13,12,0,0,32,0,0,37,940,4,3,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,30
