English Name,Energy (kcal),Total Carbohydrate,Protein,Total Fat,Saturated Fat,Chol,Total Dietary Fiber,Total Sugars,Calcium,Sodium,Restaurant,Item type,main food type,ingredient_category,spicy,sweet,salty,sour,vegetiarian,gluten,milk,egg,fish,crustaceans,price
Plain_congee,140,26,0,0,0,0,0,0,25,130,2,1,6,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22
Congee_with_preserved_egg_and_pork,260,22,16,12,0,200,0,0,46,1300,2,1,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,28
Congee_with_dried_fish_and_peanut_and_pork,300,26,15,15,0,38,7,0,84,1100,2,1,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30
Boat_congee,300,31,13,14,0,68,0,0,34,1300,2,1,6,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,34
Congee_with_pig_giblets,310,29,22,12,3,260,0,0,38,1500,2,1,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30
Wheat_noodles_(thick)_in_soup_with_meat_and_vegetable_dumpling,380,47,28,0,0,75,0,0,87,2500,2,1,2,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,34
Wheat_noodles_(thick)_in_soup_with_wonton,420,47,33,11,0,94,0,0,100,2900,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,34
Wheat_noodles_(thin)_in_soup_with_wonton,450,47,33,14,0,110,0,0,110,2900,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,34
Rice_vermicelli_in_soup_with_wonton,520,79,24,11,0,72,0,0,110,2100,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_wonton",570,94,20,13,0,48,0,0,100,1900,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,34
"Flat_noodles_(""Ho_Fan"")_in_soup_with_""Yu-pei-gau""_(meat_dumpling_with_fish_wrap)",550,87,16,15,0,19,8,0,94,1700,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Wheat_noodles_(thin)_in_soup_with_""Yu-pei-gau""_(meat_dumpling_with_fish_wrap)",410,46,26,14,0,48,0,0,82,2400,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
"Rice_vermicelli_in_soup_with_""Yu-pei-gau""_(meat_dumpling_with_fish_wrap)",560,79,22,17,0,40,0,0,99,2100,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,34
"Wheat_noodles_(thick)_in_soup_with_""Yu-pei-gau""_(meat_dumpling_with_fish_wrap)",500,51,29,20,5,59,0,0,120,2700,2,1,2,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,34
Wheat_noodles_(thick)_in_soup_with_stewed_beef_brisket,520,49,46,15,0,93,8,0,74,3000,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Wheat_noodles_(thin)_in_soup_with_stewed_beef_brisket,550,48,50,17,0,110,0,0,70,3100,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38
Rice_vermicelli_in_soup_with_stewed_beef_brisket,610,70,49,15,0,77,0,0,91,1900,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
"Flat_noodles_(""Ho_Fan"")_in_soup_with_stewed_beef_brisket",670,86,40,19,0,68,14,0,86,1900,2,1,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38
